ncol,nrow,population,allroads,mainroads,secroads,industries,traffic_points
48.0,8.0,955.0,0.0,0.0,0.0,0.0,0.0
49.0,8.0,683.0,0.0,0.0,1.0,0.0,1.0
50.0,8.0,3129.0,0.0,1.3,0.0,0.5,2.0
1.0,9.0,24.0,0.0,0.4,0.0,0.0,0.0
2.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0
3.0,9.0,127.0,0.0,0.0,0.0,0.0,0.0
4.0,9.0,53.0,0.0,0.0,0.0,0.0,0.0
5.0,9.0,143.0,0.0,0.0,0.0,0.0,0.0
6.0,9.0,682.0,0.0,1.1,0.0,0.0,0.0
7.0,9.0,317.0,0.0,0.0,0.0,0.0,0.0
8.0,9.0,100.0,0.0,0.0,0.0,0.0,0.0
9.0,9.0,143.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,235.0,0.0,0.0,0.0,0.0,0.0
11.0,9.0,489.0,0.1,2.5,0.0,0.5,2.0
12.0,9.0,379.0,0.0,0.4,0.0,0.5,2.0
13.0,9.0,484.0,0.0,0.0,0.0,0.0,0.0
14.0,9.0,70.0,0.0,0.0,0.0,0.0,0.0
15.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0
16.0,9.0,79.0,1.2,0.0,0.0,0.0,0.0
17.0,9.0,141.0,0.0,0.0,0.0,0.0,0.0
18.0,9.0,541.0,0.0,1.2,0.0,0.0,0.0
19.0,9.0,329.0,0.0,0.3,0.0,0.0,1.0
20.0,9.0,291.0,0.0,0.0,0.0,0.0,0.0
21.0,9.0,51.0,0.0,0.0,0.0,0.0,0.0
22.0,9.0,413.0,0.0,1.4,0.0,0.0,0.0
23.0,9.0,388.0,0.0,0.0,0.0,0.0,0.0
24.0,9.0,100.0,0.0,0.0,0.0,0.0,0.0
25.0,9.0,286.0,0.2,1.7,0.0,0.5,4.0
26.0,9.0,924.0,0.0,1.0,0.0,0.0,0.0
27.0,9.0,85.0,0.7,0.5,0.0,0.0,2.0
28.0,9.0,240.0,0.0,1.1,0.0,0.0,0.0
29.0,9.0,289.0,0.9,1.1,0.0,0.5,1.0
